00:00 - 01:00	110,42
01:00 - 02:00	107,26
02:00 - 03:00	101,88
03:00 - 04:00	98,91
04:00 - 05:00	101,95
05:00 - 06:00	119,81
06:00 - 07:00	141,56
07:00 - 08:00	164,37
08:00 - 09:00	161,97
09:00 - 10:00	135,46
10:00 - 11:00	111,22
11:00 - 12:00	107,42
12:00 - 13:00	100,79
13:00 - 14:00	100,92
14:00 - 15:00	106,62
15:00 - 16:00	115,91
16:00 - 17:00	131,02
17:00 - 18:00	154,24
18:00 - 19:00	212,11
19:00 - 20:00	193,11
20:00 - 21:00	161,92
21:00 - 22:00	138,55
22:00 - 23:00	125,55
23:00 - 00:00	115,12
